"domain","attribute","description","id","created_at","updated_at"
"plan","travel","plans to travel after graduation, interested in climbing Mount Fuji","bd3b74ed-1455-4b4a-9939-c5ae868f36f3","2025-03-26 18:37:04.197643","2025-03-26 18:37:04.197643"
"psychological","reflection","notices deeper appreciation for movies upon rewatching","c3881ec6-638c-476f-ab3d-5042ea3fca39","2025-03-26 18:37:04.197643","2025-03-26 18:37:04.197643"
"psychological","expression","interested in writing movie reviews and sharing opinions","4fa43c56-bcc5-4927-b504-1d4f1c5db1cb","2025-03-26 18:37:04.197643","2025-03-26 18:37:04.197643"
"psychological","preference","deeply moved and healed by abstract metaphors in animated films","ce2479c0-a74b-4d9a-9a4e-22bb33d966ec","2025-03-26 18:37:04.197643","2025-03-26 18:37:04.197643"
"interest","sports","Has practiced basketball for 2.5 years and is interested in boxing and cycling","7fa780a2-560f-4d32-8fbf-5a0b74bfabe9","2025-03-26 18:35:44.641691","2025-03-26 18:37:04.225405"
"education","school","香港理工大学","7eeac275-6f98-4e16-ad7f-a90eff6410fc","2025-03-26 18:35:44.641691","2025-03-26 18:35:44.641691"
"education","major","生成式AI与人文","45a46606-108e-4905-848c-e64ff64faa16","2025-03-26 18:35:44.641691","2025-03-26 18:35:44.641691"
"psychological","preferences","does not like open-world games due to lack of clear goals/incentives","1a726e2f-2037-4ff5-a920-52b6950331ae","2025-03-26 18:35:44.641691","2025-03-26 18:35:44.641691"
"psychological","status","self-identifies as a novice gamer","74076ac4-2c60-48f7-94b1-6f709d8a204d","2025-03-26 18:35:44.641691","2025-03-26 18:35:44.641691"
"interest","hobby","enjoys running in the morning, especially in a misty city atmosphere","053f8264-406a-4d27-8bd2-6f47f051646c","2025-03-26 18:36:20.484993","2025-03-26 18:36:20.484993"
"interest","activity","wants to watch sunrise but struggles with waking up early","2cddad4a-6451-4c59-9d2b-6b050970046c","2025-03-26 18:36:20.484993","2025-03-26 18:36:20.484993"
"interest","activity","interested in trying rock climbing for sensory and mindfulness benefits","8b9022f7-51f8-4afe-a3a2-dc172ac46e55","2025-03-26 18:36:20.484993","2025-03-26 18:36:20.484993"
"psychological","values","values connection (with body, nature, others, and the world)","3a1f24f2-354c-4cab-a09f-f06486e62094","2025-03-26 18:36:20.484993","2025-03-26 18:36:20.484993"
"psychological","beliefs","views cities as ""steel jungles"" that disconnect people from nature, prefers real forests","e16a63d2-786c-46fb-a956-cd7065a5b527","2025-03-26 18:36:20.484993","2025-03-26 18:36:20.484993"
"education","current_situation","studying in Hong Kong","d081303c-33d3-4b5e-b0a9-b9f3f6aca8fd","2025-03-26 18:36:20.484993","2025-03-26 18:36:20.484993"
"psychological","needs","seeks ways to relieve stress while studying abroad","8efe1dd7-87c8-4205-8d8a-a7ad3c2f28ba","2025-03-26 18:36:20.484993","2025-03-26 18:36:20.484993"
"interest","hobby","enjoys running in the morning (especially in misty city atmosphere) and is interested in dancing but concerned about coordination","16bc4240-3669-4057-ac6c-e20134117d67","2025-03-26 18:36:20.484993","2025-03-26 18:37:04.238934"
"interest","magazines","likes National Geographic magazine","e7ee2858-ca87-41f1-a860-4ee903203253","2025-03-26 18:37:52.477149","2025-03-26 18:37:52.477149"
"interest","technology","interested in image processing with Python","8f1c1ce9-aaee-4a02-a789-1ca6c6952372","2025-03-26 18:37:52.477149","2025-03-26 18:37:52.477149"
"psychological","emotional_response","pauses viewing when emotions become too intense","8bfed197-4b90-420c-9357-4cb6fbde9e93","2025-03-26 18:37:52.477149","2025-03-26 18:37:52.477149"
"interest","movies","Likes sci-fi movies (e.g., The Matrix) and nature-related documentaries; prefers movies over TV shows, finding them more refined","cdf8c2c2-4dc2-46fe-aea5-e0d9951e23bf","2025-03-26 18:35:44.641691","2025-03-26 18:37:52.539689"
"interest","music","Plays guzheng (古筝) and prefers instrumental music (e.g., Yanni's works) over songs","910b3973-e727-45ca-99a7-cb82907d6fe9","2025-03-26 18:35:44.641691","2025-03-26 18:37:52.554596"
"psychological","personality","self-identifies as a night owl (夜猫子) and believes instrumental music has power to induce calm and deep states","7a0ed89f-164a-4359-aa79-150b1e8c241a","2025-03-26 18:36:20.484993","2025-03-26 18:37:52.568831"
"psychological","curiosity","Interested in why people enjoy revisiting favorite things (movies, music, food, cities) and whether music preferences reflect personality","21063084-2c9f-4ed2-9c85-5d323c60e543","2025-03-26 18:37:04.197643","2025-03-26 18:37:52.582433"
